Start,End,Dijkstra’s Fuel (L),Eco Route Fuel (L),Dijkstra’s CO2 (kg),Eco Route CO2 (kg),Elevation change (m),Peak Elevation Point (m),Average Grade,CO2 reduced,Extra Distance (m)
Wellington Station,Victoria Uni,0.174,0.167,0.401,0.385,97,55,3.69%,4.02%,177
Wellington Station,Karori,0.32,0.309,0.739,0.715,40,172,2.40%,3.25%,460
Bowen Street,Grenada Village,0.925,0.915,2.136,2.113,147,171,1.25%,1.05%,172
Newtown,Karori,0.6,0.587,1.386,1.355,127,172,1.67%,2.19%,105
Bowen Street,Khandallah,0.493,0.48,1.139,1.108,120,161,1.78%,2.68%,579
Te Papa,Karori,0.515,0.502,1.189,1.16,137,176,2.10%,2.48%,102
Miramar,Te Papa,0.452,0.434,1.043,1.003,1,55,0.02%,3.82%,180
Newton,Wellington Station,0.394,0.381,0.909,0.88,-10,30,-0.20%,3.26%,0
Miramar,Grenada Village,1.486,1.448,3.443,3.345,164,171,0.85%,2.56%,655
Victoria University,Khandallah,0.627,0.517,1.449,1.195,39,161,0.44%,17.52%,972
Te Papa,Khandallah,0.649,0.633,1.5,1.462,136,161,1.55%,2.50%,674
Miramar,Khandallah,1.055,1.021,2.436,2.359,137,161,0.96%,3.18%,1040
Grenada Village,Victoria Uni,1.059,0.938,2.446,2.168,66,171,0.49%,11.37%,318
Newton,Victoria Uni,0.294,0.291,0.68,0.673,87,105,2.36%,0.92%,3
Bowen Street,Victoria Uni,0.133,0.131,0.308,0.303,81,105,3.99%,1.85%,360
